"country","year_week","count_deaths","r_deaths","R_epiestim_deaths","count_cases","r_cases","R_epiestim_cases","R_deaths","R_cases"
"South Korea","2020-09",15,0.108877150292414,1.9948877720143,3450,0.221478428009156,2.25234035639355,1.87200080615428,3.15518184952897
"South Korea","2020-10",29,0.0941779469834663,1.56304840605988,3170,-0.0120918061648685,1.02864673710575,1.73422583475527,0.923321155950743
"South Korea","2020-11",24,-0.0270345713769326,1.08014667981563,854,-0.18736509615468,0.451251961520651,0.833746488219749,0.196223537197018
"South Korea","2020-12",38,0.0656474756254914,1.31649818082213,725,-0.0233942198476993,0.593227661606668,1.48520268580946,0.855046327524552
"South Korea","2020-13",45,0.0241537614348477,1.13557759717305,700,-0.00501304568732429,0.863289951056377,1.16475960057125,0.967753751533196
"South Korea","2020-14",28,-0.0677797113707308,0.803759694881799,623,-0.0166476880365645,0.848260742991886,0.617592885989717,0.895407892124484
"South Korea","2020-15",31,0.0145403849014203,0.934293492165647,253,-0.12873671857999,0.533374109404655,1.09731551142209,0.365778784360808
"South Korea","2020-16",19,-0.0699354607598151,0.711922292025079,137,-0.0876297946999136,0.491446936957587,0.607263643480633,0.526532404135057
"South Korea","2020-17",7,-0.142646975730161,0.521552220034732,64,-0.108728263209779,0.495767349356105,0.31945427044761,0.439464571379206
"South Korea","2020-18",9,0.0359020611829866,0.85586084858879,63,-0.00224976528116274,0.845306522049201,1.25060358373673,0.985451958418161
"South Korea","2020-19",4,-0.11584717374519,0.726009144107886,108,0.0769995001046696,1.38310237144341,0.412275599262723,1.58141886744673
"South Korea","2020-20",7,0.0799451125622032,1.16365739656096,156,0.0525321114464739,1.30903131362365,1.60700044746242,1.37867344498238
"South Korea","2020-21",4,-0.0799451125622033,0.850263413231925,141,-0.0144423024101955,1.14215220700262,0.560713778371272,0.908853483412786
"South Korea","2020-22",4,0,0.94485991594188,297,0.10642460691779,1.49945483876679,1.0000087081713,1.84855750324813
"South Korea","2020-23",2,-0.0990210257942779,0.85226011431333,311,0.00658011048236207,1.13564622742524,0.478305122672897,1.04334874824425
"South Korea","2020-24",4,0.0990210257942779,1.36859881062727,307,-0.00184930922743385,1.02000469337096,1.77889778217829,0.988033344652706
"South Korea","2020-25",3,-0.041097438921683,1.02081373769187,317,0.00457914661286907,1.02191444596317,0.754573837528735,1.03004836769032
"South Korea","2020-26",2,-0.0579235868725949,0.87660935442352,319,0.000898475558223417,1.01674533057755,0.666209291278985,1.00585925939353
"South Korea","2020-27",1,-0.0990210257942779,1.12687967010666,334,0.00656427002740797,1.05091071469612,0.478305122672897,1.04324304031619
"South Korea","2020-28",6,0.255965638461151,2.17660078298312,388,0.0214091923780819,1.06907370554407,3.63379454586441,1.14524945059586
"South Korea","2020-29",7,0.0220215256896083,1.2656772182676,292,-0.0406073624792845,0.906744553519656,1.14958456540103,0.757250643894624
"South Korea","2020-30",3,-0.121042551483886,0.703261000403738,404,0.0463801536704098,1.08240717184269,0.393114419079914,1.33039161177042
"South Korea","2020-31",2,-0.0579235868725949,0.839946708737059,214,-0.0907769804198998,0.725290358833831,0.666209291278985,0.512918730496086
